,Title,counts
422,CARM: Confidence-aware recommender model via review representation learning and historical rating behavior in the online platforms,1
423,CDS spreads as an independent measure of credit risk,1
424,CNN based spatial classification features for clustering offline handwritten mathematical expressions,1
425,CTRL: A Conditional Transformer Language Model for Controllable Generation,1
426,Can big data protect a firm from competition?,1
427,Cash bonuses for peer-reviewed papers go global,1
428,Catching fire and spreading it: A glimpse into displayed entrepreneurial passion in crowdfunding campaigns.,1
429,Categorical Reparameterization with Gumbel-Softmax,1
430,Category-Level Transfer Learning from Knowledge Base to Microblog Stream for Accurate Event Detection,1
454,Centrality measure in social networks based on linear threshold model,1
421,Centroid-based Text Summarization through Compositionality of Word Embeddings,1
455,"Characterizing diabetes, diet, exercise, and obesity comments on Twitter",1
468,Clarity is a Worthwhile Quality: On the Role of Task Clarity in Microtask Crowdsourcing,1
482,Classifying informative and non-informative tweets from the twitter by adapting image features during disaster,1
483,Climate Change Tweets Ids,1
484,"Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems",1
485,Clustering with Deep Learning: Taxonomy and New Methods,1
486,"Co-word maps and topic modeling: A comparison using small and medium-sized corpora ($\less$i$\greater$N$\less$/i$\greater${\hspace{0.167em}}{\&}lt$\mathsemicolon${\hspace{0.167em}}1,000)",1
487,Co-{LSTM}: Convolutional {LSTM} model for sentiment analysis in social big data,1
488,CoRel: Seed-Guided Topical Taxonomy Construction by Concept Learning and Relation Transferring,1
489,Coherence Modeling of Asynchronous Conversations: A Neural Entity Grid Approach,1
490,Coherence-Aware Neural Topic Modeling,1
491,"Collaboration clusters, interdisciplinarity, scope and subject classification of library and information science research from Africa: An analysis of Web of Science publications from 1996 to 2015",1
492,Collaborative Consumption: Strategic and Economic Implications of Product Sharing,1
493,Collaborative Dynamic Sparse Topic Regression with User Profile Evolution for Item Recommendation,1
494,Collaborative optimization algorithm for learning path construction in E-learning,1
495,Combination of Topic Modelling and Decision Tree Classification for Tourist Destination Marketing,1
496,Combining Knowledge with Deep Convolutional Neural Networks for Short Text Classification,1
497,Combining paper cooperative network and topic model for expert topic analysis and extraction,1
498,Company event popularity for financial markets using Twitter and sentiment analysis,1
499,Comparing grounded theory and topic modeling: Extreme divergence or unlikely convergence?,1
500,Competitive Dynamics in the Sharing Economy: An Analysis in the Context of Airbnb and Hotels,1
481,Computational Grounded Theory: A Methodological Framework,1
480,Computer Science in {ASEAN}: A Ten-Year Bibliometric Analysis (2009{\textendash}2018),1
479,Consumer motives for peer-to-peer sharing,1
478,Consumer segmentation within the sharing economy: The case of Airbnb,1
458,Content analysis of newspaper coverage of wolf recolonization in France using structural topic modeling,1
459,Content analysis: An introduction to its methodology,1
460,Contestability in Algorithmic Systems,1
461,Context-Aware Trustworthy Service Evaluation in Social Internet of Things,1
462,Contextual Augmentation: Data Augmentation by Words with Paradigmatic Relations,1
463,Contextual String Embeddings for Sequence Labeling,1
464,Contextual Topic Modeling For Dialog Systems,1
465,Contextualized Word Representations for Reading Comprehension,1
466,Contrastive Clustering,1
457,Controllable Abstractive Summarization,1
467,Conversational AI: The Science Behind the Alexa Prize,1
469,Correspondence analysis in practice,1
470,Creating Strategic Business Value from Big Data Analytics: A Research Framework,1
471,Cross-Category Defect Discovery from Online Reviews: Supplementing Sentiment with Category-Specific Semantics,1
472,Current Trends in Sustainability of Bitcoins and Related Blockchain Technology,1
473,Customer engagement and online reviews,1
474,Daemo,1
475,Data-Driven Answer Selection in Community QA Systems,1
476,Decoupling Representation and Classifier for Long-Tailed Recognition,1
477,Decoupling Sparsity and Smoothness in the Dirichlet Variational Autoencoder Topic Model,1
594,Deep Clustering by Gaussian Mixture Variational Autoencoders With Graph Embedding,1
456,Deep Clustering for Unsupervised Learning of Visual Features,1
595,Deep Comprehensive Correlation Mining for Image Clustering,1
643,Deep Keyphrase Generation,1
716,Deep Latent {D}irichlet Allocation with Topic-Layer-Adaptive Stochastic Gradient {R}iemannian {MCMC},1
717,Deep Learning-Based Document Modeling for Personality Detection from Text,1
718,Deep Matrix Factorization With Implicit Feedback Embedding for Recommendation System,1
719,Deep Sentiment Classification and Topic Discovery on Novel Coronavirus or COVID-19 Online Discussions: NLP Using LSTM Recurrent Neural Network Approach,1
720,Deep Temporal Clustering : Fully Unsupervised Learning of Time-Domain Features,1
721,Deep Variational Matrix Factorization with Knowledge Embedding for Recommendation System,1
722,Deep contextualized word representations,1
723,Deep learning for pharmacovigilance: recurrent neural network architectures for labeling adverse drug reactions in Twitter posts,1
724,Deep {D}irichlet Multinomial Regression,1
725,Designing Contestability,1
726,Destination competitiveness: A phenomenographic study,1
727,Detecting Climate Change Deniers on Twitter Using a Deep Neural Network,1
728,Detecting and predicting the topic change of Knowledge-based Systems: A topic-based bibliometric analysis from 1991 to 2016,1
729,Detection of Communities within the Multibody System Dynamics Network and Analysis of Their Relations,1
730,Diagnosing Gender Bias in Image Recognition Systems,1
731,"Digital Content Marketing{\textquotesingle}s Role in Fostering Consumer Engagement, Trust, and Value: Framework, Fundamental Propositions, and Implications",1
732,Digital Labour Platforms and the Future of Work: Towards Decent Work in the Online World,1
733,Dimensions of Interpersonal Relationships: Corpus and Experiments,1
734,Directional Skip-Gram: Explicitly Distinguishing Left and Right Context for Word Embeddings,1
715,Disaster response aided by tweet classification with a domain adaptation approach,1
714,Discovering bank risk factors from financial statements based on a new semi-supervised text mining algorithm,1
713,Discovering themes and trends in transportation research using topic modeling,1
712,Discrepancy detection between actual user reviews and numeric ratings of Google App store using deep learning,1
692,Discriminative locally document embedding: Learning a smooth affine map by approximation of the probabilistic generative structure of subspace,1
693,Disentangling the independently controllable factors of variation by interacting with the world,1
694,Distant Horizons: Digital Evidence and Literary Change,1
695,Distant Supervision for Topic Classification of Tweets in Curated Streams,1
696,Distributional Inclusion Vector Embedding for Unsupervised Hypernymy Detection,1
697,Diverse Beam Search for Improved Description of Complex Scenes,1
698,Document Informed Neural Autoregressive Topic Models with Distributional Prior,1
699,Document-based topic coherence measures for news media text,1
700,Does traveler satisfaction differ in various travel group compositions?,1
691,Domain Agnostic Learning with Disentangled Representations,1
701,Double Embeddings and {CNN}-based Sequence Labeling for Aspect Extraction,1
703,Drought assessment with a surface-groundwater coupled model in the Chesapeake Bay watershed,1
704,Edina: Building an Open Domain Socialbot with Self-dialogues,1
705,Effective Attention Modeling for Aspect-Level Sentiment Classification,1
706,Effective Large-Scale Online Influence Maximization,1
707,Effects of personification and anthropomorphic tendency on destination attitude and travel intentions,1
708,Efficiently Answering Technical Questions {\textemdash} A Knowledge Graph Approach,1
709,Electronic word of mouth analysis for new product positioning evaluation,1
710,"Embedded in the Crowd: Creative Freelancers, Crowdsourced Work, and Occupational Community",1
711,Emergence of Invariance and Disentanglement in Deep Representations,1
735,Emerging trends and new developments in information science: a document co-citation analysis (2009--2016),1
736,Empathy is hard work: People choose to avoid empathy because of its cognitive costs.,1
737,Employees recruitment: A prescriptive analytics approach via machine learning and mathematical programming,1
760,Employees' online reviews and equity prices,1
762,Energy choices in Alaska: Mining people{\textquotesingle}s perception and attitudes from geotagged tweets,1
763,Enhancement of Short Text Clustering by Iterative Classification,1
764,Enhancing Seasonal Influenza Surveillance: Topic Analysis of Widely Used Medicinal Drugs Using Twitter Data,1
765,Enhancing deep learning sentiment analysis with ensemble techniques in social applications,1
766,Enhancing unsupervised neural networks based text summarization with word embedding and ensemble learning,1
767,Enriching Word Vectors with Subword Information,1
768,Ethics in Finance and Accounting: Editorial Introduction,1
769,Evaluating a Computational Approach to Labeling Politeness: Challenges for the Application of Machine Classification to Social Computing Data,1
770,Evaluating topic representations for exploring document collections,1
771,Event extraction from {T}witter using Non-Parametric {B}ayesian Mixture Model with Word Embeddings,1
772,Evolving Unsupervised Deep Neural Networks for Learning Meaningful Representations,1
773,Examining an asymmetric effect between online customer reviews emphasis and overall satisfaction determinants,1
774,Examining learning engagement in MOOCs: A self-determination theoretical perspective using mixed method,1
775,Examining scientific writing styles from the perspective of linguistic complexity,1
776,Examining the Relevance of Online Customer Textual Reviews on Hotels' Product and Service Attributes,1
777,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",1
778,Explainable Prediction of Medical Codes from Clinical Text,1
779,Explicitly and implicitly exploiting the hierarchical structure for mining website interests on news events,1
780,Exploiting social and local contexts propagation for inducing Chinese microblog-specific sentiment lexicons,1
761,Exploratory Geovisualization of the Character and Distribution of American Climate Change Beliefs,1
759,Exploratory study on Class Imbalance and solutions for Network Traffic Classification,1
738,Exploring halal-friendly destination attributes in South Korea: Perceptions and behaviors of Muslim travelers toward a non-Muslim destination,1
758,Exploring the Research Trend of Smart Factory with Topic Modeling,1
739,Exploring the behavioral drivers of review valence,1
740,Exploring the effect of user engagement in online brand communities: Evidence from Twitter,1
741,Extreme Multi-Label ICD Classification: Sensitivity to Hospital Service and Time,1
742,Facebook Hospital Reviews: Automated Service Quality Detection and Relationships with Patient Satisfaction,1
743,Fairness Beyond Disparate Treatment &amp; Disparate Impact: Learning Classification without Disparate Mistreatment,1
744,FastGCN: Fast Learning with Graph Convolutional Networks via Importance Sampling,1
745,FastSGG: efficient social graph generation using a degree distribution generation model,1
746,Feature Selection: A Data Perspective,1
747,FinBERT: A Pretrained Language Model for Financial Communications,1
748,Finding Microaggressions in the Wild: A Case for Locating Elusive Phenomena in Social Media Posts,1
749,Finding the diamond in the rough: Exploring communication and platform in crowdsourcing performance,1
750,Fine-Grained Spoiler Detection from Large-Scale Review Corpora,1
751,Fixing weight decay regularization in adam,1
752,Framing the sharing economy: Toward a sustainable ecosystem,1
753,Free associations of citizens and scientists with economic and green growth: A computational-linguistics analysis,1
754,Friendly Topic Assistant for Transformer Based Abstractive Summarization,1
755,From Alt-Right to Alt-Rechts: Twitter Analysis of the 2017 German Federal Election,1
756,From Louvain to Leiden: guaranteeing well-connected communities,1
757,From local explanations to global understanding with explainable AI for trees,1
702,Full-Text or Abstract? Examining Topic Coherence Scores Using Latent Dirichlet Allocation,1
690,Fuzzy Bag-of-Words Model for Document Representation,1
689,Fuzzy Visibility Graph for Structural Analysis of Online Handwritten Mathematical Expressions,1
688,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,1
622,Generalized Gumbel-Softmax Gradient Estimator for Various Discrete Random Variables,1
623,Get To The Point: Summarization with Pointer-Generator Networks,1
624,Global Surveillance of COVID-19 by Mining News Media Using a Multi-Source Dynamic Embedded Topic Model,1
625,"Global Warming of 1.5 C. An IPCC Special Report on the Impacts of Global Warming of 1.5 C. an IPCC Special Report on the Impacts of Global Warming of 1.5 C Above Pre-industrial Levels and Related Global Greenhouse gas Emission Pathways, in the Context of Strengthening the Global Response to the Threat of climate Change, sustainable Development, and Efforts to Eradicate Poverty",1
626,Gradient boosting for distributional regression: faster tuning and improved variable selection via noncyclical updates,1
627,Graph Structural-Topic Neural Network,1
628,"Graph embedding techniques, applications, and performance: A survey",1
629,Graph representation learning: a survey,1
630,Graph-to-Graph: Towards Accurate and Interpretable Online Handwritten Mathematical Expression Recognition,1
631,"Grief Counseling and Grief Therapy, Fourth Edition: A Handbook for the Mental Health Practitioner",1
632,Guess You like: Course Recommendation in MOOCs,1
633,Handwritten Mathematical Expression Recognition via Paired Adversarial Learning,1
634,Handwritten Mathematical Symbol Recognition Using Machine Learning Techniques: Review,1
635,Health literacy in childhood and youth: a systematic review of definitions and models,1
636,Healthcare informatics,1
637,HiExpan: Task-Guided Taxonomy Construction by Hierarchical Tree Expansion,1
638,HiGitClass: Keyword-Driven Hierarchical Classification of GitHub Repositories,1
639,Hierarchical Topic Mining via Joint Spherical Tree and Text Embedding,1
640,Hot topics and trends in cardiovascular research,1
621,How Computers See Gender: An Evaluation of Gender Classification in Commercial Facial Analysis Services,1
620,How Important Is Size? An Investigation of Corpus Size and Meaning in Both Latent Semantic Analysis and Latent Dirichlet Allocation,1
619,How {\textquotedblleft}you{\textquotedblright} makes meaning,1
618,Human Decisions and Machine Predictions,1
598,Hybrid Attention-Based Prototypical Networks for Noisy Few-Shot Relation Classification,1
599,Hybrid CNN-GRU Model for High Efficient Handwritten Digit Recognition,1
600,Hybrid deep neural networks for recommender systems,1
601,Hybrid supervised clustering based ensemble scheme for text classification,1
602,Hyper-Parameter Tuning of a Decision Tree Induction Algorithm,1
603,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings,1
604,Hypernym Detection Using Strict Partial Order Networks,1
605,ICDAR 2019 CROHME + TFD: Competition on Recognition of Handwritten Mathematical Expressions and Typeset Formula Detection,1
606,ICFHR 2020 Competition on Offline Recognition and Spotting of Handwritten Mathematical Expressions - OffRaSHME,1
597,Identifying Empathetic Messages in Online Health Communities,1
607,Identifying Singleton Spammers via Spammer Group Detection,1
609,Identifying Sub-Events and Summarizing Disaster-Related Information from Microblogs,1
610,Identifying and Characterizing the Propagation Scale of {COVID}-19 Situational Information on Twitter: A Hybrid Text Analytic Approach,1
611,"Identifying disaster-related tweets and their semantic, spatial and temporal context using deep learning, natural language processing and spatial analysis: a case study of Hurricane Irma",1
612,Identifying influencers from sampled social networks,1
613,Identifying leading blockchain startups on a worldwide level,1
614,Identifying topical influencers on twitter based on user behavior and network topology,1
615,Image Provenance Analysis at Scale,1
616,"Impact of distance on the arrivals, behaviours and attitudes of international tourists in Hong Kong: A longitudinal approach",1
617,Implicit Gender Biases in Professional Software Development: An Empirical Study,1
641,Improved Deep Embedded Clustering with Local Structure Preservation,1
608,Improved Training of Wasserstein GANs,1
642,Improved Variational Autoencoders for Text Modeling using Dilated Convolutions,1
655,Improving Topic Quality by Promoting Named Entities in Topic Modeling,1
669,Improving sentiment analysis via sentence type classification using {BiLSTM}-{CRF} and {CNN},1
670,In Airbnb we trust: Understanding consumers' trust-attachment building mechanisms in the sharing economy,1
671,In Search of Coherence and Consensus: Measuring the Interpretability of Statistical Topics,1
672,In Search of Precision in Absorptive Capacity Research: A Synthesis of the Literature and Consolidation of Findings,1
673,Incorporating Wikipedia concepts and categories as prior knowledge into topic models,1
674,Increasing trend of scientists to switch between topics,1
675,Independently Controllable Features,1
676,Induction of a sentiment dictionary for financial analyst communication: a data-driven approach balancing machine learning and human intuition,1
677,Inferring Concept Hierarchies from Text Corpora via Hyperbolic Embeddings,1
678,Inferring multimodal latent topics from electronic health records,1
679,Influence maximization on twitter: A mechanism for effective marketing campaign,1
680,Informative and Controllable Opinion Summarization,1
681,Inside the Rating Scores: A Multilevel Analysis of the Factors Influencing Customer Satisfaction in the Hotel Industry,1
682,Interactive User Interface for Recognizing Online Handwritten Mathematical Expressions and Correcting Misrecognition,1
683,"Interdisciplinarity as diversity in citation patterns among journals: Rao-Stirling diversity, relative variety, and the Gini coefficient",1
684,Introduction to the Special Issue on Human-Centered Machine Learning,1
685,Investigating How Experienced UX Designers Effectively Work with Machine Learning,1
686,Investigating Sports Commentator Bias within a Large Corpus of {A}merican Football Broadcasts,1
687,Investigation of Pre-service Teachers'Conceptions of the Nature of Science Based on the LDA Model,1
668,Investor Sentiment and Credit Default Swap Spreads During the Global Financial Crisis,1
667,It{'}s going to be okay: Measuring Access to Support in Online Communities,1
666,JNET: Learning User Representations via Joint Network Embedding and Topic Embedding,1
665,Joint optimisation of regular and demand-responsive transit services,1
645,Jointly Learning Word Embeddings and Latent Topics,1
646,Key factors in MOOC pedagogy based on NLP sentiment analysis of learner reviews: What makes a hit,1
647,Knowledge diffusion paths of blockchain domain: the main path analysis,1
648,Knowledge-driven graph similarity for text classification,1
649,LDA Topic Mining of Light Food Customer Reviews on the Meituan Platform,1
408,LJST: a semi-supervised joint sentiment-topic model for short texts,1
651,Label Propagation-Based Parallel Graph Partitioning for Large-Scale Graph Data,1
652,Labeling Topics with Images Using a Neural Network,1
653,Labeling Topics with Images using Neural Networks,1
644,Large-Scale Learnable Graph Convolutional Networks,1
654,Latent association rule cluster based model to extract topics for classification and recommendation applications,1
656,Learn#: A Novel incremental learning method for text classification,1
657,Learning Community Embedding with Community Detection and Node Embedding on Graphs,1
658,Learning Continuous Hierarchies in the Lorentz Model of Hyperbolic Geometry,1
659,Learning Dense Representations of Phrases at Scale,1
660,Learning Distributed Representations of Texts and Entities from Knowledge Base,1
661,Learning Phrase Embeddings from Paraphrases with {GRU}s,1
662,Learning Representations for Time Series Clustering,1
663,Learning Sequential Correlation for User Generated Textual Content Popularity Prediction,1
664,Learning Structured Text Representations,1
596,Learning Topic-Sensitive Word Representations,1
409,Learning Twitter User Sentiments on Climate Change with Limited Labeled Data,1
354,Learning supervised topic models for classification and regression from crowds,1
407,Learning to Discover Cross-Domain Relations with Generative Adversarial Networks,1
153,Learning to Evaluate Image Captioning,1
154,Linked Educational Online Courses to Provide Personalized Learning,1
155,Literature review: Machine learning techniques applied to financial market prediction,1
156,MCRS: A course recommendation system for MOOCs,1
157,MOOCs Recommender System: A Recommender System for the Massive Open Online Courses,1
158,Machine Learning for Social Science: An Agnostic Approach,1
159,Machine learning models for mathematical symbol recognition: A stem to stern literature analysis,1
160,Making sense of Big Data --can it transform operations management?,1
161,"Managing the Boundaries of Taste: Culture, Valuation, and Computational Social Science",1
162,Market segmentation: A multiple criteria approach combining preference analysis and segmentation decision,1
163,Massive Open Online Courses (MOOCs): Data on higher education,1
164,Matching the Blanks: Distributional Similarity for Relation Learning,1
165,Materialism and the sharing economy: A cross-cultural study of American and Indian consumers,1
166,MeanSum: A Neural Model for Unsupervised Multi-document Abstractive Summarization,1
167,Measuring and Managing the Externality of Managerial Responses to Online Customer Reviews,1
168,Measuring credit risk using qualitative disclosure,1
169,Measuring the interdisciplinarity of Big Data research: a longitudinal study,1
170,Medical informatics research trend analysis: A text mining approach,1
171,MetaPAD: Meta Pattern Discovery from Massive Text Corpora,1
152,Methodological Cyborg as Black Feminist Technology: Constructing the Social Self Using Computational Digital Autoethnography and Social Media,1
150,MiCE: Mixture of Contrastive Experts for Unsupervised Image Clustering,1
129,Microblog sentiment analysis with weak dependency connections,1
149,Mining meaning from online ratings and reviews: Tourist satisfaction~analysis using latent dirichlet~allocation,1
130,Mining opinions from instructor evaluation reviews: A deep learning approach,1
131,Mining product innovation ideas from online reviews,1
132,Mining tag-clouds to improve social media recommendation,1
133,Mining the voice of employees: A text mining approach to identifying and analyzing job satisfaction factors from online employee reviews,1
134,Model-based Clustering of Short Text Streams,1
135,Modeling Empathy and Distress in Reaction to News Stories,1
136,Modeling reference experience in destination choice,1
137,Modelling Research Topic Trends in Community Forestry,1
138,MoocRec: Learning Styles-Oriented MOOC Recommender and Search Engine,1
139,Motivations and constraints of Airbnb consumers: Findings from a mixed-methods approach,1
140,Movie Recommendation System Using NLP Tools,1
141,Multi Task Mutual Learning for Joint Sentiment Classification and Topic Detection,1
142,Multi-Level Variational Autoencoder: Learning Disentangled Representations from Grouped Observations,1
143,Multi-Task Deep Neural Networks for Natural Language Understanding,1
144,Multi-modal matrix factorization with side information for recommending massive open online courses,1
145,Multi-source data fusion study in scientometrics,1
146,Multilingual Denoising Pre-training for Neural Machine Translation,1
147,Multimodal Topic Labelling,1
148,Narratives of the Refugee Crisis: A Comparative Study of Mainstream-Media and Twitter,1
172,Natural Language Processing Techniques to Reveal Human-Computer Interaction for Development Research Topics,1
151,Networks,1
173,Neural Topic Model with Attention for Supervised Learning,1
197,Neural Topic Model with Reinforcement Learning,1
